"workstation_id","measurement_type","device_id","device_interface","gui_module"
"13","BottomDepth","107","SCS","TrawlEvent"
"13","NetVerticalOpening","0","Software","TrawlEvent"
"13","NetHorizontalOpening","0","Software","TrawlEvent"
"13","HeadRopeHeight","0","Software","TrawlEvent"
"13","TrawlWireOut","0","Software","TrawlEvent"
"14","length","25","Serial","Specimen"
"14","organism_weight","20","Serial","Specimen"
"14","sex","1","Software","Specimen"
"14","maturity","3","Software","Specimen"
"14","gonad_weight","20","Serial","Specimen"
"14","basket_weight","21","Serial","Catch"
"14","length","25","Serial","Length"
"14","sex","1","Software","Length"
"14","barcode","22","Serial","Specimen"
"6","ITIBearingToTarget","108","SCS","TrawlEvent"
"6","ITIDepth","109","SCS","TrawlEvent"
"6","ITIRangeToTarget","110","SCS","TrawlEvent"
"5","ITIBearingToTarget","108","SCS","TrawlEvent"
"5","ITIDepth","109","SCS","TrawlEvent"
"5","ITIRangeToTarget","110","SCS","TrawlEvent"
"15","length","25","Serial","Specimen"
"15","maturity","3","Software","Specimen"
"15","organism_weight","20","Serial","Specimen"
"15","sex","1","Software","Length"
"15","sex","1","Software","Specimen"
"15","spawning_condition","6","Software","Specimen"
"15","standard_length","25","Serial","Specimen"
"15","stomach_taken","5","Software","Specimen"
"15","total_length","25","Serial","Specimen"
"4","ovary_taken","7","Software","Specimen"
"10","ovary_taken","7","Software","Specimen"
"7","ovary_taken","7","Software","Specimen"
"4","liver_weight","20","Serial","Specimen"
"10","liver_weight","20","Serial","Specimen"
"7","liver_weight","20","Serial","Specimen"
"20","basket_weight","300","Serial","Catch"
"20","Latitude","100","SCS","TrawlEvent"
"20","Longitude","101","SCS","TrawlEvent"
"20","SOG","102","SCS","TrawlEvent"
"20","Heading","103","SCS","TrawlEvent"
"20","WindSpeed","104","SCS","TrawlEvent"
"20","WindDirection","105","SCS","TrawlEvent"
"20","SurfaceTemp","106","SCS","TrawlEvent"
"20","BottomDepth","107","SCS","TrawlEvent"
"20","ITIBearingToTarget","108","SCS","TrawlEvent"
"20","ITIDepth","109","SCS","TrawlEvent"
"20","ITIRangeToTarget","110","SCS","TrawlEvent"
"20","NetVerticalOpening","103","Software","TrawlEvent"
"20","NetHorizontalOpening","104","Software","TrawlEvent"
"20","HeadRopeHeight","105","Software","TrawlEvent"
"20","TrawlWireOut","106","Software","TrawlEvent"
"21","gonad_weight","301","Serial","Specimen"
"21","organism_weight","301","Serial","Specimen"
"21","liver_weight","301","Serial","Specimen"
"21","sex","1","Software","Specimen"
"21","sex","1","Software","Length"
"21","maturity","3","Software","Specimen"
"21","stomach_taken","5","Software","Specimen"
"21","spawning_condition","6","Software","Specimen"
"21","ovary_taken","7","Software","Specimen"
"21","fork_length","302","Serial","Specimen"
"21","standard_length","302","Serial","Specimen"
"21","total_length","302","Serial","Specimen"
"21","length","302","Serial","Specimen"
"21","length","302","Serial","Length"
"4","length","25","Serial","Length"
"4","length","25","Serial","Specimen"
"2","length","24","Serial","Length"
"4","basket_weight","20","Serial","Catch"
"10","SBEPressure","26","Serial","Haul"
"4","tissue_sample_taken","8","Software","Specimen"
"4","otolith_taken","9","Software","Specimen"
"4","None","41","Serial","Specimen"
"14","None","41","Serial","Specimen"
"12","liver_weight","18","Serial","Specimen"
"12","ovary_taken","7","Software","Specimen"
"7","BottomDepth","107","SCS","TrawlEvent"
"7","Heading","103","SCS","TrawlEvent"
"7","Latitude","100","SCS","TrawlEvent"
"7","Longitude","101","SCS","TrawlEvent"
"7","SOG","102","SCS","TrawlEvent"
"7","SurfaceTemp","106","SCS","TrawlEvent"
"7","WindDirection","105","SCS","TrawlEvent"
"7","WindSpeed","104","SCS","TrawlEvent"
"4","vial_number","11","Software","Specimen"
"5","vial_number","11","Software","Specimen"
"7","barcode","22","Serial","Specimen"
"7","basket_weight","20","Serial","Catch"
"7","fork_length","25","Serial","Specimen"
"7","gonad_weight","20","Serial","Specimen"
"7","length","25","Serial","Length"
"7","length","25","Serial","Specimen"
"7","maturity","3","Software","Specimen"
"7","organism_weight","20","Serial","Specimen"
"7","otolith_taken","9","Software","Specimen"
"7","sex","1","Software","Length"
"7","sex","1","Software","Specimen"
"7","spawning_condition","6","Software","Specimen"
"7","standard_length","25","Serial","Specimen"
"7","stomach_taken","5","Software","Specimen"
"7","tissue_sample_taken","8","Software","Specimen"
"7","vial_number","11","Software","Specimen"
"2","finclip_vial_num","11","Software","Specimen"
"2","gill_vial_num","11","Software","Specimen"
"3","finclip_vial_num","11","Software","Specimen"
"3","gill_vial_num","11","Software","Specimen"
"4","finclip_vial_num","11","Software","Specimen"
"4","gill_vial_num","11","Software","Specimen"
"5","finclip_vial_num","11","Software","Specimen"
"5","gill_vial_num","11","Software","Specimen"
"7","finclip_vial_num","11","Software","Specimen"
"7","gill_vial_num","11","Software","Specimen"
"6","TSGTemperature","113","SCS","TrawlEvent"
"4","TSGTemperature","113","SCS","TrawlEvent"
"10","TSGTemperature","113","SCS","TrawlEvent"
"8","TSGTemperature","113","SCS","TrawlEvent"
"7","TSGTemperature","113","SCS","TrawlEvent"
"5","TSGTemperature","113","SCS","TrawlEvent"
"12","finclip_vial_num","11","Software","Specimen"
"12","gill_vial_num","11","Software","Specimen"
"25","gonad_weight","301","Serial","Specimen"
"25","organism_weight","301","Serial","Specimen"
"25","liver_weight","301","Serial","Specimen"
"25","sex","1","Software","Specimen"
"25","sex","1","Software","Length"
"25","maturity","3","Software","Specimen"
"25","stomach_taken","5","Software","Specimen"
"25","spawning_condition","6","Software","Specimen"
"25","ovary_taken","7","Software","Specimen"
"25","fork_length","302","Serial","Specimen"
"25","standard_length","302","Serial","Specimen"
"25","total_length","302","Serial","Specimen"
"25","length","302","Serial","Specimen"
"25","length","302","Serial","Length"
"12","stomach_taken","5","Software","Specimen"
"12","fin_missing","12","Software","Specimen"
"2","fin_missing","12","Software","Specimen"
"3","fin_missing","12","Software","Specimen"
"4","fin_missing","12","Software","Specimen"
"11","fin_missing","12","Software","Specimen"
"14","fin_missing","12","Software","Specimen"
"10","fin_missing","12","Software","Specimen"
"22","length","25","Serial","Specimen"
"22","sex","1","Software","Specimen"
"22","maturity","3","Software","Specimen"
"3","basket_weight","19","Serial","Catch"
"3","fork_length","23","Serial","Specimen"
"3","gonad_weight","19","Serial","Specimen"
"3","length","23","Serial","Specimen"
"3","liver_weight","19","Serial","Specimen"
"3","maturity","3","Software","Specimen"
"3","organism_weight","19","Serial","Specimen"
"3","otolith_taken","9","Software","Specimen"
"3","ovary_taken","7","Software","Specimen"
"3","sex","1","Software","Specimen"
"3","spawning_condition","6","Software","Specimen"
"3","standard_length","23","Serial","Specimen"
"3","stomach_taken","5","Software","Specimen"
"3","tissue_sample_taken","8","Software","Specimen"
"3","total_length","23","Serial","Specimen"
"3","vial_number","11","Software","Specimen"
"23","total_length","25","Serial","Specimen"
"23","standard_length","25","Serial","Specimen"
"6","FS70DepthBelowSounder","112","SCS","TrawlEvent"
"23","barcode","22","Serial","Specimen"
"23","basket_weight","21","Serial","Catch"
"23","gonad_weight","20","Serial","Specimen"
"23","length","25","Serial","Length"
"23","length","25","Serial","Specimen"
"23","maturity","3","Software","Specimen"
"23","organism_weight","20","Serial","Specimen"
"23","sex","1","Software","Length"
"23","sex","1","Software","Specimen"
"23","fork_length","25","Serial","Specimen"
"2","basket_weight","18","Serial","Catch"
"2","fork_length","24","Serial","Specimen"
"2","gonad_weight","18","Serial","Specimen"
"2","length","24","Serial","Specimen"
"2","liver_weight","18","Serial","Specimen"
"2","maturity","3","Software","Specimen"
"2","organism_weight","18","Serial","Specimen"
"2","otolith_taken","9","Software","Specimen"
"2","ovary_taken","7","Software","Specimen"
"2","sex","1","Software","Specimen"
"2","spawning_condition","6","Software","Specimen"
"2","standard_length","24","Serial","Specimen"
"2","stomach_taken","5","Software","Specimen"
"2","tissue_sample_taken","8","Software","Specimen"
"2","total_length","24","Serial","Specimen"
"2","vial_number","11","Software","Specimen"
"4","ITIBearingToTarget","108","SCS","TrawlEvent"
